trip_id,stop_sequence,stop_id,siguiente_stop_id,departure_time,tiempo_entre_estaciones
4_I12-001_2023I12_1_1_4__1___,0,263,262,0 days 01:00:00,00:03:10
4_I12-001_2023I12_1_1_4__1___,1,262,261,0 days 01:03:10,00:02:07
4_I12-001_2023I12_1_1_4__1___,2,261,1,0 days 01:05:17,00:03:02
4_I12-001_2023I12_1_1_4__1___,3,1,2,0 days 01:08:19,00:01:21
4_I12-001_2023I12_1_1_4__1___,4,2,3,0 days 01:09:40,00:01:27
4_I12-001_2023I12_1_1_4__1___,5,3,4,0 days 01:11:07,00:02:00
4_I12-001_2023I12_1_1_4__1___,6,4,5,0 days 01:13:07,00:01:25
4_I12-001_2023I12_1_1_4__1___,7,5,6,0 days 01:14:32,00:01:08
4_I12-001_2023I12_1_1_4__1___,8,6,7,0 days 01:15:40,00:01:21
4_I12-001_2023I12_1_1_4__1___,9,7,8,0 days 01:17:01,00:01:57
4_I12-001_2023I12_1_1_4__1___,10,8,9,0 days 01:18:58,00:01:51
4_I12-001_2023I12_1_1_4__1___,11,9,10,0 days 01:20:49,00:01:15
4_I12-001_2023I12_1_1_4__1___,12,10,11,0 days 01:22:04,00:01:49
4_I12-001_2023I12_1_1_4__1___,13,11,12,0 days 01:23:53,00:00:51
4_I12-001_2023I12_1_1_4__1___,14,12,13,0 days 01:24:44,00:01:46
4_I12-001_2023I12_1_1_4__1___,15,13,14,0 days 01:26:30,00:01:17
4_I12-001_2023I12_1_1_4__1___,16,14,15,0 days 01:27:47,00:01:47
4_I12-001_2023I12_1_1_4__1___,17,15,16,0 days 01:29:34,00:00:48
4_I12-001_2023I12_1_1_4__1___,18,16,17,0 days 01:30:22,00:01:51
4_I12-001_2023I12_1_1_4__1___,19,17,18,0 days 01:32:13,00:01:25
4_I12-001_2023I12_1_1_4__1___,20,18,19,0 days 01:33:38,00:01:51
4_I12-001_2023I12_1_1_4__1___,21,19,20,0 days 01:35:29,00:01:14
4_I12-001_2023I12_1_1_4__1___,22,20,21,0 days 01:36:43,00:01:31
